"","publicid","origintime","longitude","latitude","magnitude","depth","Date","Time","DateTime","DateTime_PreviousQuake","HoursBetween","swarm","EventID","quakes_in_swarm","swarm_duration"
"67","2016p439634","2016-06-11T15:57:01.175Z",174.1778107,-41.61011505,4.482469633,20.67872238,2016-06-11,"15:57:01",2016-06-11 15:57:01,2016-06-11 05:36:30,10.3419444444444,FALSE,81,1,0
"68","2016p445360","2016-06-13T18:47:51.244Z",175.3684387,-38.72816086,3.401255055,5,2016-06-13,"18:47:51",2016-06-13 18:47:51,2016-06-11 15:57:01,50.8472222222222,FALSE,82,1,0
"69","2016p452435","2016-06-16T09:37:58.403Z",175.1589203,-40.2265358,3.431327528,16.12910271,2016-06-16,"09:37:58",2016-06-16 09:37:58,2016-06-15 23:47:39,9.83861111111111,FALSE,84,1,0
"70","2016p468073","2016-06-22T04:30:57.666Z",174.2778473,-40.36727142,3.208220822,63.00486755,2016-06-22,"04:30:57",2016-06-22 04:30:57,2016-06-21 13:13:57,15.2833333333333,FALSE,87,1,0
"71","2016p470092","2016-06-22T22:25:30.059Z",174.9912872,-39.90846252,3.001803294,25.71006966,2016-06-22,"22:25:30",2016-06-22 22:25:30,2016-06-22 04:30:57,17.9091666666667,FALSE,88,1,0
"72","2016p474397","2016-06-24T12:38:43.743Z",174.4190826,-41.55581665,4.699558285,13.07592869,2016-06-24,"12:38:43",2016-06-24 12:38:43,2016-06-23 15:48:44,20.8330555555556,FALSE,90,1,0
"73","2016p484154","2016-06-28T03:17:34.822Z",174.553299,-40.46250153,3.472038397,64.13944244,2016-06-28,"03:17:34",2016-06-28 03:17:34,2016-06-24 12:38:43,86.6475,FALSE,91,1,0
"74","2016p489594","2016-06-30T03:35:59.437Z",174.3594971,-40.19781876,3.237087291,16.48026657,2016-06-30,"03:35:59",2016-06-30 03:35:59,2016-06-29 08:41:48,18.9030555555556,FALSE,93,1,0
"75","2016p500086","2016-07-04T00:45:50.521Z",174.0172577,-41.70619583,4.571879794,9.389575005,2016-07-04,"00:45:50",2016-07-04 00:45:50,2016-06-30 03:35:59,93.1641666666667,FALSE,94,1,0
"76","2016p504912","2016-07-05T19:37:33.662Z",171.9709473,-41.76927185,3.181705731,5.368735313,2016-07-05,"19:37:33",2016-07-05 19:37:33,2016-07-04 21:46:11,21.8561111111111,FALSE,96,1,0
"77","2016p510723","2016-07-07T23:13:18.111Z",172.9151001,-40.9363327,3.006538856,181.9057617,2016-07-07,"23:13:18",2016-07-07 23:13:18,2016-07-05 19:37:33,51.5958333333333,FALSE,97,1,0
"78","2016p523055","2016-07-12T12:43:47.664Z",173.7305298,-40.89925385,3.484732691,75.76390839,2016-07-12,"12:43:47",2016-07-12 12:43:47,2016-07-07 23:13:18,109.508055555556,FALSE,98,1,0
"79","2016p536235","2016-07-17T09:46:00.742Z",172.5934753,-41.28293991,3.031329758,114.9866791,2016-07-17,"09:46:00",2016-07-17 09:46:00,2016-07-13 04:42:07,101.064722222222,FALSE,100,1,0
"80","2016p542615","2016-07-19T18:25:39.984Z",172.8209839,-41.80269241,3.021564697,64.42922974,2016-07-19,"18:25:39",2016-07-19 18:25:39,2016-07-17 09:46:00,56.6608333333333,FALSE,101,1,0
"81","2016p573056","2016-07-31T00:44:28.640Z",173.7881165,-40.24529266,3.274301458,141.5892944,2016-07-31,"00:44:28",2016-07-31 00:44:28,2016-07-30 10:48:47,13.9280555555556,FALSE,104,1,0
"82","2016p575040","2016-07-31T18:21:29.468Z",174.5302429,-40.73332596,3.001402388,59.36355972,2016-07-31,"18:21:29",2016-07-31 18:21:29,2016-07-31 00:44:28,17.6169444444444,FALSE,105,1,0
"83","2016p580594","2016-08-02T19:40:45.217Z",174.7728424,-39.15839005,3.147649022,207.4460754,2016-08-02,"19:40:45",2016-08-02 19:40:45,2016-07-31 18:21:29,49.3211111111111,FALSE,106,1,0
"84","2016p589481","2016-08-06T02:35:53.844Z",172.2301644,-41.79064038,3.598349017,6.640625,2016-08-06,"02:35:53",2016-08-06 02:35:53,2016-08-05 15:12:19,11.3927777777778,FALSE,108,1,0
"85","2016p595313","2016-08-08T06:22:46.499Z",173.5677185,-41.42208862,3.581518776,61.17631912,2016-08-08,"06:22:46",2016-08-08 06:22:46,2016-08-06 02:35:53,51.7813888888889,FALSE,109,1,0
"86","2016p600676","2016-08-10T06:00:27.253Z",174.1478882,-41.6857605,3.183623442,7.359124184,2016-08-10,"06:00:27",2016-08-10 06:00:27,2016-08-08 06:22:46,47.6280555555556,FALSE,110,1,0
"87","2016p604450","2016-08-11T15:31:14.704Z",175.1224518,-38.85633087,3.47622866,234.289917,2016-08-11,"15:31:14",2016-08-11 15:31:14,2016-08-10 06:00:27,33.5130555555556,FALSE,111,1,0
"88","2016p613561","2016-08-15T00:25:23.184Z",174.4251404,-39.21810913,3.252046088,17.66874695,2016-08-15,"00:25:23",2016-08-15 00:25:23,2016-08-11 15:31:14,80.9025,FALSE,112,1,0
"89","2016p618120","2016-08-16T16:54:35.249Z",174.8618469,-40.12264633,3.238313857,18.73088074,2016-08-16,"16:54:35",2016-08-16 16:54:35,2016-08-15 00:25:23,40.4866666666667,FALSE,113,1,0
"90","2016p631519","2016-08-21T15:53:24.223Z",173.2337952,-40.50629807,3.349225401,151.4616852,2016-08-21,"15:53:24",2016-08-21 15:53:24,2016-08-16 16:54:35,118.980277777778,FALSE,114,1,0
"91","2016p632846","2016-08-22T03:40:28.212Z",174.3283539,-39.6238327,3.991533246,206.0244751,2016-08-22,"03:40:28",2016-08-22 03:40:28,2016-08-21 15:53:24,11.7844444444444,FALSE,115,1,0
"92","2016p643737","2016-08-26T04:23:05.309Z",174.7881012,-40.18906784,3.437422596,9.888186455,2016-08-26,"04:23:05",2016-08-26 04:23:05,2016-08-22 03:40:28,96.7102777777778,FALSE,116,1,0
"93","2016p646948","2016-08-27T08:54:18.979Z",173.3964539,-42.18500137,3.293401213,20.80549812,2016-08-27,"08:54:18",2016-08-27 08:54:18,2016-08-26 04:23:05,28.5202777777778,FALSE,117,1,0
"94","2016p660155","2016-09-01T06:10:41.370Z",175.4901733,-40.67961121,3.208029311,21.72234154,2016-09-01,"06:10:41",2016-09-01 06:10:41,2016-08-27 08:54:18,117.273055555556,FALSE,118,1,0
"95","2016p663826","2016-09-02T14:46:59.951Z",174.5152893,-40.98323822,3.972435394,31.16217995,2016-09-02,"14:46:59",2016-09-02 14:46:59,2016-09-01 06:10:41,32.605,FALSE,119,1,0
"96","2016p680254","2016-09-08T16:39:48.598Z",172.5748138,-41.21160507,3.152493877,5,2016-09-08,"16:39:48",2016-09-08 16:39:48,2016-09-06 04:39:58,59.9972222222222,FALSE,121,1,0
"97","2016p683563","2016-09-09T22:02:49.615Z",173.9271704,-40.49306897,5.077998679,79.53125,2016-09-09,"22:02:49",2016-09-09 22:02:49,2016-09-08 16:39:48,29.3836111111111,FALSE,122,1,0
"98","2016p687759","2016-09-11T11:18:11.641Z",172.2979889,-41.74322128,3.064261763,76.72943878,2016-09-11,"11:18:11",2016-09-11 11:18:11,2016-09-09 22:02:49,37.2561111111111,FALSE,123,1,0
"99","2016p697474","2016-09-15T01:34:08.952Z",173.3692932,-42.31043243,3.277272938,34.79565048,2016-09-15,"01:34:08",2016-09-15 01:34:08,2016-09-11 11:18:11,86.2658333333333,FALSE,124,1,0
"100","2016p711672","2016-09-20T07:39:06.548Z",172.491745,-41.13381577,3.000172664,209.4265289,2016-09-20,"07:39:06",2016-09-20 07:39:06,2016-09-15 01:34:08,126.082777777778,FALSE,125,1,0
"101","2016p719174","2016-09-23T02:16:13.914Z",173.8788757,-42.9812355,3.287523694,12,2016-09-23,"02:16:13",2016-09-23 02:16:13,2016-09-20 07:39:06,66.6186111111111,FALSE,126,1,0
"102","2016p721458","2016-09-23T22:33:24.539Z",174.6114349,-41.07002258,3.003583401,25.02283669,2016-09-23,"22:33:24",2016-09-23 22:33:24,2016-09-23 02:16:13,20.2863888888889,FALSE,127,1,0
"103","2016p724483","2016-09-25T01:24:45.694Z",173.6131439,-40.3011322,3.008776733,157.3399811,2016-09-25,"01:24:45",2016-09-25 01:24:45,2016-09-23 22:33:24,26.8558333333333,FALSE,128,1,0
"104","2016p730918","2016-09-27T10:33:24.542Z",171.5956421,-41.84646225,3.256871663,5.576613426,2016-09-27,"10:33:24",2016-09-27 10:33:24,2016-09-25 01:24:45,57.1441666666667,FALSE,129,1,0
"105","2016p734799","2016-09-28T21:01:15.997Z",173.4284668,-40.2194252,3.0146923,164.7925262,2016-09-28,"21:01:15",2016-09-28 21:01:15,2016-09-27 10:33:24,34.4641666666667,FALSE,130,1,0
"106","2016p739375","2016-09-30T13:39:04.220Z",174.0548859,-40.43501663,3.388917277,87.17918396,2016-09-30,"13:39:04",2016-09-30 13:39:04,2016-09-28 21:01:15,40.6302777777778,FALSE,131,1,0
"107","2016p740427","2016-09-30T22:59:44.476Z",174.5964966,-41.09365463,4.264976904,33.80489349,2016-09-30,"22:59:44",2016-09-30 22:59:44,2016-09-30 13:39:04,9.34444444444444,FALSE,132,1,0
"108","2016p742477","2016-10-01T17:11:55.806Z",173.7753448,-41.75974274,3.327120984,10.86125565,2016-10-01,"17:11:55",2016-10-01 17:11:55,2016-09-30 22:59:44,18.2030555555556,FALSE,133,1,0
"109","2016p778331","2016-10-14T23:34:44.810Z",174.8096619,-39.11053467,3.71780796,201.4738617,2016-10-14,"23:34:44",2016-10-14 23:34:44,2016-10-01 17:11:55,318.380277777778,FALSE,134,1,0
"110","2016p785276","2016-10-17T13:15:15.845Z",174.5037842,-40.38776779,4.219517127,73.1680603,2016-10-17,"13:15:15",2016-10-17 13:15:15,2016-10-14 23:34:44,61.6752777777778,FALSE,135,1,0
"111","2016p786597","2016-10-18T00:59:17.593Z",173.77388,-39.93143845,3.035187995,211.0661774,2016-10-18,"00:59:17",2016-10-18 00:59:17,2016-10-17 13:15:15,11.7338888888889,FALSE,136,1,0
"112","2016p794356","2016-10-20T21:53:10.860Z",173.3531799,-40.48057556,4.017965861,137.5159454,2016-10-20,"21:53:10",2016-10-20 21:53:10,2016-10-19 00:35:43,45.2908333333333,FALSE,138,1,0
"113","2016p801740","2016-10-23T15:27:30.492Z",171.6951447,-42.72756195,3.042798592,5,2016-10-23,"15:27:30",2016-10-23 15:27:30,2016-10-20 21:53:10,65.5722222222222,FALSE,139,1,0
"114","2016p814320","2016-10-28T07:10:04.225Z",174.7220154,-39.10678101,3.248185264,223.046524,2016-10-28,"07:10:04",2016-10-28 07:10:04,2016-10-26 05:18:01,49.8675,FALSE,141,1,0
"115","2016p817836","2016-10-29T14:23:06.071Z",174.640686,-38.58462524,3.097794951,15.43393135,2016-10-29,"14:23:06",2016-10-29 14:23:06,2016-10-28 22:38:59,15.7352777777778,FALSE,143,1,0
"116","2016p830365","2016-11-03T05:39:00.390Z",174.9382782,-39.3299675,3.021428108,13.24257278,2016-11-03,"05:39:00",2016-11-03 05:39:00,2016-10-31 20:35:06,57.065,FALSE,145,1,0
"117","2016p831374","2016-11-03T14:36:13.744Z",174.5876798,-41.0574323,4.421959624,36.640625,2016-11-03,"14:36:13",2016-11-03 14:36:13,2016-11-03 05:39:00,8.95361111111111,FALSE,146,1,0
"118","2016p850685","2016-11-10T18:05:14.093Z",174.624098,-40.67070055,3.865859501,42.03125,2016-11-10,"18:05:14",2016-11-10 18:05:14,2016-11-07 23:33:42,66.5255555555556,FALSE,148,1,0
"119","2016p973497","2016-12-26T04:39:16.457Z",173.5591559,-42.20676491,3.552031308,8.984375,2016-12-26,"04:39:16",2016-12-26 04:39:16,2016-12-25 16:57:44,11.6922222222222,FALSE,161,1,0
"120","2017p025461","2017-01-10T10:05:55.335Z",174.1348724,-41.77972794,3.022968044,11.75030613,2017-01-10,"10:05:55",2017-01-10 10:05:55,2017-01-09 04:44:57,29.3494444444444,FALSE,172,1,0
"121","2017p062171","2017-01-24T00:05:09.855Z",174.2846433,-41.70573749,3.061509232,16.953125,2017-01-24,"00:05:09",2017-01-24 00:05:09,2017-01-23 06:16:39,17.8083333333333,FALSE,186,1,0
"122","2017p077159","2017-01-29T13:10:23.619Z",174.429034,-41.62656938,3.821523118,23.046875,2017-01-29,"13:10:23",2017-01-29 13:10:23,2017-01-29 02:22:19,10.8011111111111,FALSE,192,1,0
"123","2017p080124","2017-01-30T15:30:07.594Z",174.1302185,-41.69889832,3.063389535,9.118070602,2017-01-30,"15:30:07",2017-01-30 15:30:07,2017-01-30 07:25:59,8.06888888888889,FALSE,194,1,0
"124","2017p099124","2017-02-06T16:13:34.290Z",174.6032562,-39.6257515,3.469103167,123.499321,2017-02-06,"16:13:34",2017-02-06 16:13:34,2017-02-06 05:12:22,11.02,FALSE,202,1,0
"125","2017p106359","2017-02-09T08:28:31.649Z",173.285411,-42.39406117,3.705223499,5.703125,2017-02-09,"08:28:31",2017-02-09 08:28:31,2017-02-08 01:03:39,31.4144444444444,FALSE,205,1,0
"126","2017p115739","2017-02-12T19:46:00.825Z",172.6203241,-42.58842991,3.945945899,13.203125,2017-02-12,"19:46:00",2017-02-12 19:46:00,2017-02-12 11:15:13,8.51305555555555,FALSE,210,1,0
"127","2017p125956","2017-02-16T14:29:28.961Z",173.725296,-42.15684891,3.234654845,13.35744381,2017-02-16,"14:29:28",2017-02-16 14:29:28,2017-02-16 05:52:07,8.6225,FALSE,215,1,0
"128","2017p130131","2017-02-18T03:33:59.040Z",174.4490364,-41.10670184,3.126165392,35.234375,2017-02-18,"03:33:59",2017-02-18 03:33:59,2017-02-17 14:20:10,13.2302777777778,FALSE,217,1,0
"129","2017p155032","2017-02-27T08:41:06.603Z",174.1664124,-41.71723175,3.637460521,8.869722366,2017-02-27,"08:41:06",2017-02-27 08:41:06,2017-02-25 09:26:13,47.2480555555556,FALSE,223,1,0
"130","2017p156863","2017-02-28T00:56:58.182Z",174.1084595,-41.82071686,3.341658922,43.48878098,2017-02-28,"00:56:58",2017-02-28 00:56:58,2017-02-27 08:41:06,16.2644444444444,FALSE,224,1,0
"131","2017p177033","2017-03-07T12:03:25.311Z",173.5303802,-42.1978569,3.208480757,8.154353142,2017-03-07,"12:03:25",2017-03-07 12:03:25,2017-03-05 21:23:23,38.6672222222222,FALSE,230,1,0
"132","2017p180727","2017-03-08T20:51:25.154Z",173.0913391,-42.98164749,4.070532501,7.243303776,2017-03-08,"20:51:25",2017-03-08 20:51:25,2017-03-08 12:13:11,8.63722222222222,FALSE,232,1,0
"133","2017p189038","2017-03-11T22:39:35.953Z",174.1766663,-41.72523499,3.492405621,6.563145638,2017-03-11,"22:39:35",2017-03-11 22:39:35,2017-03-11 11:02:39,11.6155555555556,FALSE,237,1,0
